IDSubtitle	MovieName	MovieYear	LanguageName	ISO639	SubAddDate	ImdbID	SubFormat	SubSumCD	MovieReleaseName	MovieFPS	SeriesSeason	SeriesEpisode	SeriesIMDBParent	MovieKind	URL
9482468	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 03	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482468/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482469	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 04	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482469/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482470	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 05	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482470/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482471	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 06	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482471/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482472	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 07	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482472/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482473	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 08	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482473/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482474	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 09	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482474/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482475	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 10	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482475/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482476	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 11	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482476/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
9482477	Reborn to Master the Blade: From Hero-King to Extraordinary Squire	2023	Arabic	ar	2023-03-28 17:20:23	25971150	ssa	1	 [Crunchyroll] Eiyuuou, Bu wo Kiwameru Tame Tenseisu - 12 END	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9482477/reborn-to-master-the-blade-from-hero-king-to-extraordinary-squire-ar
